																	
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	"reference afr table"
15	1.00	1.00	1.03	1.07	1.00	0.93	0.93	0.93	0.95	0.87	1.00	1.00	1.00	1.00	1.00	1.00	
16	1.00	1.00	1.00	1.00	0.99	0.96	0.95	0.91	0.93	0.97	1.00	1.00	1.00	1.00	1.00	1.00	
																	
1	85	85	84	80	74	75	76	77	78	86	88	90	96	97	99	100	"old ve table"
2	85	85	84	80	73	74	75	76	77	85	88	90	96	97	99	100	
3	85	85	84	80	73	74	75	75	77	84	88	90	93	95	97	99	
4	82	83	82	77	73	74	75	73	76	80	86	88	90	93	96	99	
5	80	80	80	73	70	72	74	72	75	78	83	86	88	91	95	98	
6	78	80	77	71	69	70	73	70	73	76	81	84	87	90	94	97	
7	78	74	71	67	67	70	71	69	73	76	80	83	86	89	93	96	
8	70	70	68	66	65	68	69	66	70	74	78	82	85	88	92	95	
9	65	63	63	64	65	66	68	65	70	74	76	80	84	87	91	94	
10	58	58	61	61	62	63	65	62	65	68	73	78	83	86	90	93	
11	55	52	56	59	60	62	62	60	62	64	70	76	82	85	89	92	
12	51	52	53	53	56	57	60	53	54	61	67	72	79	83	87	91	
13	48	51	53	53	50	53	54	46	45	50	55	61	74	80	85	90	
14	49	48	49	40	38	44	44	37	33	34	47	53	67	75	82	87	
15	49	46	47	36	34	34	30	26	26	30	36	44	58	67	75	80	
16	49	47	46	43	34	34	30	26	26	31	32	43	47	55	63	70	
																	
1	85	85	84	80	71	73	77	81	80	82	82	86	91	87	99	100	"new ve table"
2	85	85	84	77	69	72	73	73	74	80	82	85	89	85	99	100	
3	85	85	83	72	66	71	72	71	73	84	88	90	93	95	97	99	
4	82	83	76	70	66	70	72	69	71	80	86	88	90	93	96	99	
5	80	77	76	68	64	69	71	69	70	78	83	86	88	91	95	98	
6	78	79	74	67	65	68	72	68	70	76	81	84	87	90	94	97	
7	78	73	69	64	63	67	69	68	74	76	80	83	86	89	93	96	
8	70	69	68	66	65	64	66	63	70	74	78	82	85	88	92	95	
9	65	60	63	64	64	63	65	61	69	74	76	80	84	87	91	94	
10	58	54	59	60	61	61	63	58	63	68	73	78	83	86	90	93	
11	53	48	52	58	60	60	60	57	60	64	70	76	82	85	89	92	
12	50	49	49	52	56	55	58	51	53	61	67	72	79	83	87	91	
13	48	49	50	52	49	51	53	45	48	50	55	61	74	80	85	90	
14	49	49	49	40	37	42	43	37	36	34	47	53	67	75	82	87	
15	49	46	48	38	34	32	28	24	25	26	36	44	58	67	75	80	
16	49	47	46	43	34	33	29	24	24	30	32	43	47	55	63	70	
